Participant,Time to Receive,Size of Message,Data size on server
Participant2,5,1,933
Participant3,3,1,1467
Participant3,16,2,2356
,16,1,2895
Participant3,5,1,3438
Participant3,15,1,3977
,2,1,4518
,14,1,5059
Participant2,21,1,5606
,16,1,6148
Participant5,17,1,6688
,9,1,7217
Participant4,12,1,7752
Participant6,6,1,8288
Participant2,3,1,8828
Participant6,2,1,9368
Participant7,7,1,9905
,2,1,10441
Participant9,38,1,10977
,15,1,11515
Participant3,3,1,12064
,15,1,12604
Participant5,2,1,13154
,21,1,13695
Participant6,2,1,14231
Participant10,19,1,14767
Participant12,37,1,15309
