Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,59,109,344,1,933
 to 8103,43,109,344,1,1467
Participant2 to 8103,61,467,694,2,2356
Participant4 to 8101,43,121,344,1,2895
Participant4 to 8103,39,121,344,1,3438
Participant5 to 8103,41,120,344,1,3977
Participant5 to 8101,42,120,344,1,4518
Participant6 to 8101,39,121,344,1,5059
Participant6 to 8102,45,121,344,1,5606
Participant7 to 8101,42,120,344,1,6148
Participant7 to 8105,40,121,344,1,6688
Participant8 to 8101,42,121,344,1,7217
Participant8 to 8104,54,121,344,1,7752
Participant9 to 8106,49,121,344,1,8288
Participant9 to 8102,49,119,344,1,8828
Participant10 to 8106,46,122,344,1,9368
Participant10 to 8107,47,122,344,1,9905
Participant11 to 8101,45,122,344,1,10441
Participant11 to 8109,84,122,344,1,10977
Participant12 to 8101,38,122,344,1,11515
Participant12 to 8103,65,122,344,1,12064
Participant13 to 8101,41,122,344,1,12604
Participant13 to 8105,56,121,344,1,13154
Participant14 to 8101,48,122,344,1,13695
Participant14 to 8106,48,122,344,1,14231
Participant15 to 8110,79,122,344,1,14767
Participant15 to 8112,83,122,344,1,15309
