Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,58,109,344,1,935
 to 8103,69,109,344,1,1484
Participant2 to 8103,70,466,694,2,2368
Participant4 to 8101,44,121,344,1,2911
Participant4 to 8102,59,121,344,1,3446
Participant5 to 8101,55,120,344,1,3984
Participant5 to 8102,45,120,344,1,4532
Participant6 to 8103,65,121,344,1,5067
Participant6 to 8105,53,121,344,1,5603
Participant7 to 8105,65,121,344,1,6140
Participant7 to 8106,51,121,344,1,6679
Participant8 to 8106,52,119,344,1,7219
Participant8 to 8103,65,121,344,1,7759
Participant9 to 8106,60,121,344,1,8301
Participant9 to 8104,71,121,344,1,8842
Participant10 to 8106,78,122,344,1,9380
Participant10 to 8105,82,122,344,1,9916
Participant11 to 8106,52,122,344,1,10458
Participant11 to 8101,77,122,344,1,10995
Participant12 to 8104,54,122,344,1,11536
Participant12 to 8106,52,122,344,1,12076
Participant13 to 8106,59,122,344,1,12612
Participant13 to 8102,55,122,344,1,13146
Participant14 to 8107,70,122,344,1,13683
Participant14 to 8106,51,122,344,1,14217
Participant15 to 8111,52,122,344,1,14762
Participant15 to 8106,51,122,344,1,15304
