Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,935
Participant3,5,1,1484
Participant3,7,2,2368
,17,1,2911
Participant2,11,1,3446
,7,1,3984
Participant2,2,1,4532
Participant3,19,1,5067
Participant5,5,1,5603
Participant5,13,1,6140
Participant6,3,1,6679
Participant6,5,1,7219
Participant3,4,1,7759
Participant6,5,1,8301
Participant4,2,1,8842
Participant6,6,1,9380
Participant5,3,1,9916
Participant6,2,1,10458
,2,1,10995
Participant4,18,1,11536
Participant6,17,1,12076
Participant6,4,1,12612
Participant2,2,1,13146
Participant7,3,1,13683
Participant6,3,1,14217
Participant11,8,1,14762
Participant6,17,1,15304
