Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,46366,5113,6994,20,
participant1 to 8103,1499,5113,6994,20,
participant1 to 8104,45921,5113,6994,20,
participant1 to 8105,45981,5113,6994,20,
participant1 to 8106,16441,5113,6994,20,
participant1 to 8107,45969,5113,6994,20,
participant1 to 8108,30902,5113,6994,20,
participant2 to 8103,15929,5113,6994,20,
participant2 to 8104,15854,5113,6994,20,
participant2 to 8105,31000,5113,6994,20,
participant2 to 8106,16509,5113,6994,20,
participant2 to 8107,30897,5113,6994,20,
participant2 to 8108,15965,5113,6994,20,
participant3 to 8104,15802,5113,6994,20,
participant3 to 8105,16040,5113,6994,20,
participant3 to 8106,30919,5113,6994,20,
participant3 to 8107,15914,5113,6994,20,
participant3 to 8108,16358,5113,6994,20,
participant4 to 8105,15776,5113,6994,20,
participant4 to 8106,15930,5113,6994,20,
participant4 to 8107,15987,5113,6994,20,
participant4 to 8108,15806,5113,6994,20,
participant5 to 8106,15923,5113,6994,20,
participant5 to 8107,15839,5113,6994,20,
participant5 to 8108,15796,5113,6994,20,
participant6 to 8107,15815,5113,6994,20,
participant6 to 8108,15892,5113,6994,20,
participant7 to 8108,16706,5113,6994,20,
participant9 to 8103,15816,5113,6994,20,
participant9 to 8105,30957,5113,6994,20,
participant9 to 8108,31053,5113,6994,20,
participant9 to 8101,15712,5113,6994,20,
participant9 to 8106,15868,5113,6994,20,
participant9 to 8102,16194,5113,6994,20,
participant9 to 8104,15756,5113,6994,20,
participant10 to 8103,15702,5114,6994,20,
participant10 to 8105,16512,5114,6994,20,
participant10 to 8109,60918,5114,6994,20,
participant10 to 8101,30751,5114,6994,20,
participant10 to 8108,15848,5114,6994,20,
participant10 to 8104,15914,5114,6994,20,
participant10 to 8107,15777,5114,6994,20,
participant11 to 8108,15816,5114,6994,20,
participant11 to 8106,46047,5114,6994,20,
participant11 to 8103,15850,5114,6994,20,
participant11 to 8107,15767,5114,6994,20,
participant11 to 8104,30882,5114,6994,20,
participant11 to 8102,15871,5114,6994,20,
participant11 to 8105,30919,5114,6994,20,
participant12 to 8101,15857,5114,6994,20,
participant12 to 8109,15812,5114,6994,20,
participant12 to 8108,16408,5114,6994,20,
participant12 to 8105,15833,5114,6994,20,
participant12 to 8104,15838,5114,6994,20,
participant12 to 8103,16203,5114,6994,20,
participant12 to 8110,15779,5114,6994,20,
participant13 to 8111,45919,5114,6994,20,
participant13 to 8107,15992,5114,6994,20,
participant13 to 8106,15830,5114,6994,20,
participant13 to 8104,15706,5114,6994,20,
participant13 to 8109,16246,5114,6994,20,
participant13 to 8103,15889,5114,6994,20,
participant13 to 8101,15829,5114,6994,20,
participant14 to 8113,15879,5114,6994,20,
participant14 to 8103,16130,5114,6994,20,
participant14 to 8110,15855,5114,6994,20,
participant14 to 8108,15778,5114,6994,20,
participant14 to 8111,15889,5114,6994,20,
participant14 to 8107,16142,5114,6994,20,
participant14 to 8101,15943,5114,6994,20,
participant15 to 8114,15691,5114,6994,20,
participant15 to 8103,15961,5114,6994,20,
participant15 to 8105,15861,5114,6994,20,
participant15 to 8111,30696,5114,6994,20,
participant15 to 8102,16614,5114,6994,20,
participant15 to 8110,16070,5114,6994,20,
participant15 to 8106,31030,5114,6994,20,
participant16 to 8104,15941,5114,6994,20,
participant16 to 8114,15865,5114,6994,20,
participant16 to 8106,60860,5114,6994,20,
participant16 to 8105,15727,5114,6994,20,
participant16 to 8102,30792,5114,6994,20,
participant16 to 8115,30896,5114,6994,20,
participant16 to 8110,15705,5114,6994,20,
participant17 to 8104,15778,5114,6994,20,
participant17 to 8109,30750,5114,6994,20,
participant17 to 8103,15637,5114,6994,20,
participant17 to 8106,15820,5114,6994,20,
participant17 to 8112,15718,5114,6994,20,
participant17 to 8105,46118,5114,6994,20,
participant17 to 8108,30751,5114,6994,20,
participant18 to 8114,30852,5114,6994,20,
participant18 to 8108,15958,5114,6994,20,
participant18 to 8102,15969,5114,6994,20,
participant18 to 8105,15865,5114,6994,20,
participant18 to 8110,16004,5114,6994,20,
participant18 to 8111,15826,5114,6994,20,
participant18 to 8115,15884,5114,6994,20,
participant19 to 8102,15804,5114,6994,20,
participant19 to 8104,15816,5114,6994,20,
participant19 to 8106,15948,5114,6994,20,
participant19 to 8108,15697,5114,6994,20,
participant19 to 8115,15782,5114,6994,20,
participant19 to 8113,15844,5114,6994,20,
participant19 to 8107,16005,5114,6994,20,
participant20 to 8110,30866,5114,6994,20,
participant20 to 8104,15794,5114,6994,20,
participant20 to 8105,31084,5114,6994,20,
participant20 to 8101,30990,5114,6994,20,
participant20 to 8107,15960,5114,6994,20,
participant20 to 8106,15806,5114,6994,20,
participant20 to 8113,16024,5114,6994,20,
