Participant,Time to Receive,Size of Message,Data size on server
participant2,503,20,
participant3,563,20,
participant4,581,20,
participant5,554,20,
participant6,638,20,
participant7,566,20,
participant8,515,20,
participant9,516,20,
participant10,582,20,
participant11,507,20,
participant3,524,20,
participant4,488,20,
participant5,571,20,
participant6,467,20,
participant7,579,20,
participant8,684,20,
participant9,626,20,
participant10,565,20,
participant11,533,20,
participant4,554,20,
participant5,550,20,
participant6,567,20,
participant7,495,20,
participant8,573,20,
participant9,511,20,
participant10,695,20,
participant11,590,20,
participant5,509,20,
participant6,523,20,
participant7,464,20,
participant8,504,20,
participant9,488,20,
participant10,558,20,
participant11,568,20,
participant6,446,20,
participant7,558,20,
participant8,470,20,
participant9,692,20,
participant10,710,20,
participant11,524,20,
participant7,582,20,
participant8,488,20,
participant9,644,20,
participant10,477,20,
participant11,664,20,
participant8,553,20,
participant9,502,20,
participant10,566,20,
participant11,618,20,
participant9,484,20,
participant10,601,20,
participant11,604,20,
participant10,648,20,
participant11,494,20,
participant11,580,20,
participant6,479,20,
participant10,448,20,
participant9,502,20,
participant2,535,20,
participant5,499,20,
participant8,499,20,
participant11,632,20,
participant1,531,20,
participant4,532,20,
participant7,477,20,
participant6,441,20,
participant4,489,20,
participant9,610,20,
participant8,527,20,
participant2,482,20,
participant5,527,20,
participant12,449,20,
participant7,507,20,
participant1,649,20,
participant10,511,20,
participant9,729,20,
participant5,708,20,
participant8,577,20,
participant3,493,20,
participant4,540,20,
participant10,542,20,
participant13,594,20,
participant12,580,20,
participant7,577,20,
participant2,499,20,
participant8,520,20,
participant12,513,20,
participant11,512,20,
participant1,567,20,
participant2,545,20,
participant10,531,20,
participant5,602,20,
participant13,503,20,
participant6,484,20,
participant4,614,20,
participant11,508,20,
participant10,473,20,
participant6,459,20,
participant5,496,20,
participant3,528,20,
participant4,602,20,
participant7,485,20,
participant1,509,20,
participant9,510,20,
participant12,563,20,
participant7,523,20,
participant14,549,20,
participant16,504,20,
participant4,504,20,
participant11,539,20,
participant2,536,20,
participant9,473,20,
participant8,615,20,
participant10,502,20,
participant15,549,20,
participant14,516,20,
participant1,559,20,
participant6,478,20,
participant8,552,20,
participant15,523,20,
participant4,617,20,
participant12,593,20,
participant16,507,20,
participant9,520,20,
participant13,485,20,
participant12,551,20,
participant16,602,20,
participant7,515,20,
participant15,503,20,
participant4,525,20,
participant9,583,20,
participant18,527,20,
participant10,557,20,
participant5,537,20,
participant8,515,20,
participant4,535,20,
participant13,526,20,
participant19,518,20,
participant7,530,20,
participant1,668,20,
participant17,509,20,
participant2,526,20,
participant18,617,20,
participant16,611,20,
participant8,508,20,
