Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,33,109,344,1,941
 to 8103,37,109,344,1,1485
 to 8104,36,109,344,1,2027
 to 8105,35,109,344,1,2566
 to 8106,33,109,344,1,3102
Participant2 to 8103,41,465,694,2,3991
Participant2 to 8104,33,465,694,2,4878
Participant2 to 8105,45,464,694,2,5762
Participant2 to 8106,35,465,694,2,6653
Participant3 to 8104,54,1166,1744,5,8590
Participant3 to 8105,61,1167,1744,5,10522
Participant3 to 8106,52,1167,1744,5,12456
Participant4 to 8105,104,2961,4194,12,16845
Participant4 to 8106,89,2961,4194,12,21229
Participant5 to 8106,199,7209,10144,29,31562
Participant7 to 8105,42,121,344,1,32099
Participant7 to 8104,37,121,344,1,32644
Participant7 to 8101,41,121,344,1,33185
Participant7 to 8106,41,120,344,1,33725
Participant7 to 8103,38,121,344,1,34263
Participant8 to 8105,39,121,344,1,34802
Participant8 to 8106,46,121,344,1,35343
Participant8 to 8102,45,121,344,1,35887
Participant8 to 8101,85,120,344,1,36426
Participant8 to 8104,69,121,344,1,36961
Participant9 to 8102,68,121,344,1,37500
Participant9 to 8107,69,121,344,1,38038
Participant9 to 8108,48,121,344,1,38573
Participant9 to 8104,40,119,344,1,39107
Participant9 to 8106,54,121,344,1,39646
Participant10 to 8109,51,121,344,1,40183
Participant10 to 8102,48,122,344,1,40719
Participant10 to 8103,40,122,344,1,41254
Participant10 to 8108,38,122,344,1,41793
Participant10 to 8104,40,122,344,1,42335
Participant11 to 8103,49,122,344,1,42878
Participant11 to 8110,66,122,344,1,43418
Participant11 to 8102,54,122,344,1,43951
Participant11 to 8106,50,122,344,1,44495
Participant11 to 8104,47,122,344,1,45034
Participant12 to 8104,47,121,344,1,45577
Participant12 to 8108,51,122,344,1,46116
Participant12 to 8106,65,121,344,1,46659
Participant12 to 8105,62,122,344,1,47198
Participant12 to 8109,68,121,344,1,47732
Participant13 to 8104,73,122,344,1,48274
Participant13 to 8103,61,122,344,1,48808
Participant13 to 8102,72,122,344,1,49339
Participant13 to 8108,95,122,344,1,49881
Participant13 to 8105,70,122,344,1,50420
Participant14 to 8105,70,121,344,1,50955
Participant14 to 8102,63,122,344,1,51493
Participant14 to 8103,50,122,344,1,52029
Participant14 to 8109,77,121,344,1,52562
Participant14 to 8111,80,122,344,1,53097
Participant15 to 8109,74,122,344,1,53638
Participant15 to 8103,45,122,344,1,54176
Participant15 to 8102,59,122,344,1,54715
Participant15 to 8101,48,121,344,1,55250
Participant15 to 8110,45,121,344,1,55786
