Participant,Time to Receive,Size of Message,Data size on server
Participant2,4,1,941
Participant3,3,1,1485
Participant4,4,1,2027
Participant5,3,1,2566
Participant6,3,1,3102
Participant3,13,2,3991
Participant4,14,2,4878
Participant5,8,2,5762
Participant6,14,2,6653
Participant4,30,5,8590
Participant5,18,5,10522
Participant6,28,5,12456
Participant5,50,12,16845
Participant6,61,12,21229
Participant6,131,29,31562
Participant5,2,1,32099
Participant4,1,1,32644
,4,1,33185
Participant6,2,1,33725
Participant3,2,1,34263
Participant5,15,1,34802
Participant6,23,1,35343
Participant2,3,1,35887
,23,1,36426
Participant4,7,1,36961
Participant2,16,1,37500
Participant7,16,1,38038
Participant8,2,1,38573
Participant4,1,1,39107
Participant6,11,1,39646
Participant9,4,1,40183
Participant2,16,1,40719
Participant3,2,1,41254
Participant8,1,1,41793
Participant4,16,1,42335
Participant3,17,1,42878
Participant10,15,1,43418
Participant2,9,1,43951
Participant6,3,1,44495
Participant4,2,1,45034
Participant4,3,1,45577
Participant8,22,1,46116
Participant6,13,1,46659
Participant5,11,1,47198
Participant9,10,1,47732
Participant4,2,1,48274
Participant3,3,1,48808
Participant2,6,1,49339
Participant8,2,1,49881
Participant5,12,1,50420
Participant5,8,1,50955
Participant2,2,1,51493
Participant3,16,1,52029
Participant9,9,1,52562
Participant11,2,1,53097
Participant9,1,1,53638
Participant3,9,1,54176
Participant2,28,1,54715
,1,1,55250
Participant10,2,1,55786
