Participant,Time to Receive,Size of Message,Data size on server
participant2,670,20,
participant3,747,20,
participant3,573,20,
participant1,498,20,
participant2,567,20,
participant4,523,20,
participant1,531,20,
participant4,473,20,
participant5,587,20,
participant1,552,20,
participant2,595,20,
participant6,599,20,
participant4,506,20,
participant2,594,20,
participant6,465,20,
participant2,499,20,
participant4,525,20,
participant1,526,20,
participant5,546,20,
participant5,567,20,
participant9,495,20,
participant1,487,20,
participant11,526,20,
participant1,552,20,
participant4,511,20,
participant3,585,20,
participant1,510,20,
participant11,492,20,
participant4,589,20,
participant2,530,20,
participant12,526,20,
participant8,608,20,
participant10,533,20,
participant11,549,20,
participant18,526,20,
participant8,527,20,
participant4,526,20,
