Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,17078,5113,6994,20,
participant1 to 8103,31074,5113,6994,20,
participant2 to 8103,31349,5113,6994,20,
participant4 to 8101,19079,5113,6994,20,
participant4 to 8102,15790,5113,6994,20,
participant5 to 8104,31896,5113,6994,20,
participant5 to 8101,31429,5113,6994,20,
participant6 to 8104,15762,5113,6994,20,
participant6 to 8105,16363,5113,6994,20,
participant7 to 8101,15724,5113,6994,20,
participant7 to 8102,31813,5113,6994,20,
participant8 to 8106,15868,5113,6994,20,
participant8 to 8104,46310,5113,6994,20,
participant9 to 8102,16756,5113,6994,20,
participant9 to 8106,15701,5113,6994,20,
participant10 to 8102,15937,5114,6994,20,
participant10 to 8104,30908,5114,6994,20,
participant11 to 8101,45876,5114,6994,20,
participant11 to 8105,15808,5114,6994,20,
participant12 to 8105,15739,5114,6994,20,
participant12 to 8109,16272,5114,6994,20,
participant13 to 8101,31950,5114,6994,20,
participant13 to 8111,31667,5114,6994,20,
participant14 to 8101,16060,5114,6994,20,
participant14 to 8104,15710,5114,6994,20,
participant15 to 8103,15846,5114,6994,20,
participant15 to 8101,15829,5114,6994,20,
participant16 to 8111,15939,5114,6994,20,
participant16 to 8104,16359,5114,6994,20,
participant17 to 8102,15715,5114,6994,20,
participant17 to 8112,15791,5114,6994,20,
participant18 to 8108,31016,5114,6994,20,
participant18 to 8110,16316,5114,6994,20,
participant19 to 8111,45806,5114,6994,20,
participant19 to 8118,16050,5114,6994,20,
participant20 to 8108,31091,5114,6994,20,
participant20 to 8104,15716,5114,6994,20,
