Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,33,109,344,1,932
 to 8103,40,108,344,1,1464
 to 8104,34,107,344,1,1997
 to 8105,36,108,344,1,2531
 to 8106,46,109,344,1,3067
 to 8107,34,109,344,1,3603
 to 8108,37,109,344,1,4141
 to 8109,50,109,344,1,4678
 to 8110,40,109,344,1,5222
 to 8111,34,109,344,1,5767
Participant2 to 8103,63,466,694,2,6654
Participant2 to 8104,33,466,694,2,7543
Participant2 to 8105,33,466,694,2,8430
Participant2 to 8106,55,466,694,2,9317
Participant2 to 8107,53,466,694,2,10209
Participant2 to 8108,40,465,694,2,11095
Participant2 to 8109,37,466,694,2,11980
Participant2 to 8110,31,466,694,2,12867
Participant2 to 8111,34,466,694,2,13757
Participant3 to 8104,58,1178,1744,5,15700
Participant3 to 8105,58,1178,1744,5,17635
Participant3 to 8106,53,1178,1744,5,19574
Participant3 to 8107,63,1178,1744,5,21503
Participant3 to 8108,68,1178,1744,5,23444
Participant3 to 8109,72,1178,1744,5,25373
Participant3 to 8110,63,1178,1744,5,27311
Participant3 to 8111,54,1178,1744,5,29246
Participant4 to 8105,105,2943,4194,12,33635
Participant4 to 8106,105,2944,4194,12,38024
Participant4 to 8107,100,2944,4194,12,42419
Participant4 to 8108,115,2944,4194,12,46811
Participant4 to 8109,84,2944,4194,12,51198
Participant4 to 8110,132,2944,4194,12,55584
Participant4 to 8111,136,2944,4194,12,59972
Participant5 to 8106,238,7202,10144,29,70313
Participant5 to 8107,184,7202,10144,29,80654
Participant5 to 8108,231,7202,10144,29,90989
Participant5 to 8109,223,7202,10144,29,101329
Participant5 to 8110,199,7202,10144,29,111669
Participant5 to 8111,216,7202,10144,29,122012
Participant6 to 8107,370,17501,24144,70,146358
Participant6 to 8108,385,17500,24144,70,170701
Participant6 to 8109,421,17501,24144,70,195038
Participant6 to 8110,392,17501,24144,70,219379
Participant6 to 8111,438,17500,24144,70,243719
Participant7 to 8108,832,42008,57744,168,301657
Participant7 to 8109,801,42009,57744,168,359599
Participant7 to 8110,916,42009,57744,168,417538
Participant7 to 8111,844,42009,57744,168,475482
Participant8 to 8109,1996,100642,137894,402,613572
Participant8 to 8110,2082,100643,137894,402,751662
Participant8 to 8111,2032,100642,137894,402,889751
Participant9 to 8110,5178,240626,328994,959,1218939
Participant9 to 8111,5201,240625,328994,959,1548128
Participant10 to 8111,14232,574531,785744,2290,2334060
Participant12 to 8106,592,122,344,1,2334598
Participant12 to 8107,718,122,344,1,2335133
Participant12 to 8111,581,122,344,1,2335673
Participant12 to 8108,653,122,344,1,2336206
Participant12 to 8102,675,121,344,1,2336740
Participant12 to 8104,654,122,344,1,2337275
Participant12 to 8103,648,122,344,1,2337810
Participant12 to 8101,817,121,344,1,2338351
Participant12 to 8109,599,122,344,1,2338891
Participant12 to 8105,682,122,344,1,2339426
Participant13 to 8108,811,122,344,1,2339964
Participant13 to 8104,732,122,344,1,2340501
Participant13 to 8109,785,122,344,1,2341035
Participant13 to 8110,747,122,344,1,2341582
Participant13 to 8101,755,122,344,1,2342122
Participant13 to 8112,642,122,344,1,2342662
Participant13 to 8102,882,121,344,1,2343203
Participant13 to 8111,639,122,344,1,2343735
Participant13 to 8103,729,122,344,1,2344273
Participant13 to 8105,763,122,344,1,2344808
Participant14 to 8109,852,122,344,1,2345345
Participant14 to 8102,852,122,344,1,2345886
Participant14 to 8113,946,121,344,1,2346428
Participant14 to 8107,681,122,344,1,2346971
Participant14 to 8103,702,122,344,1,2347503
Participant14 to 8112,1066,122,344,1,2348041
Participant14 to 8106,693,122,344,1,2348575
Participant14 to 8105,786,122,344,1,2349110
Participant14 to 8101,720,122,344,1,2349656
Participant14 to 8108,722,122,344,1,2350191
Participant15 to 8102,882,122,344,1,2350735
Participant15 to 8105,965,122,344,1,2351277
Participant15 to 8103,806,122,344,1,2351817
Participant15 to 8114,1090,122,344,1,2352359
Participant15 to 8109,889,121,344,1,2352891
Participant15 to 8111,1236,122,344,1,2353420
Participant15 to 8108,946,122,344,1,2353958
Participant15 to 8104,912,122,344,1,2354493
Participant15 to 8107,1001,122,344,1,2355035
Participant15 to 8110,818,122,344,1,2355582
