Participant,Time to Receive,Size of Message,Data size on server
Participant2,4,1,932
Participant3,4,1,1464
Participant4,4,1,1997
Participant5,4,1,2531
Participant6,9,1,3067
Participant7,4,1,3603
Participant8,3,1,4141
Participant9,12,1,4678
Participant10,3,1,5222
Participant11,4,1,5767
Participant3,28,2,6654
Participant4,13,2,7543
Participant5,12,2,8430
Participant6,30,2,9317
Participant7,30,2,10209
Participant8,18,2,11095
Participant9,9,2,11980
Participant10,13,2,12867
Participant11,15,2,13757
Participant4,18,5,15700
Participant5,17,5,17635
Participant6,19,5,19574
Participant7,24,5,21503
Participant8,27,5,23444
Participant9,28,5,25373
Participant10,23,5,27311
Participant11,16,5,29246
Participant5,64,12,33635
Participant6,63,12,38024
Participant7,56,12,42419
Participant8,63,12,46811
Participant9,56,12,51198
Participant10,69,12,55584
Participant11,68,12,59972
Participant6,164,29,70313
Participant7,121,29,80654
Participant8,158,29,90989
Participant9,156,29,101329
Participant10,135,29,111669
Participant11,132,29,122012
Participant7,270,70,146358
Participant8,294,70,170701
Participant9,319,70,195038
Participant10,277,70,219379
Participant11,329,70,243719
Participant8,682,168,301657
Participant9,646,168,359599
Participant10,705,168,417538
Participant11,661,168,475482
Participant9,1533,402,613572
Participant10,1656,402,751662
Participant11,1616,402,889751
Participant10,4033,959,1218939
Participant11,4127,959,1548128
Participant11,10599,2290,2334060
Participant6,156,1,2334598
Participant7,160,1,2335133
Participant11,166,1,2335673
Participant8,154,1,2336206
Participant2,164,1,2336740
Participant4,197,1,2337275
Participant3,209,1,2337810
,194,1,2338351
Participant9,141,1,2338891
Participant5,224,1,2339426
Participant8,182,1,2339964
Participant4,223,1,2340501
Participant9,148,1,2341035
Participant10,178,1,2341582
,165,1,2342122
Participant12,164,1,2342662
Participant2,193,1,2343203
Participant11,155,1,2343735
Participant3,248,1,2344273
Participant5,155,1,2344808
Participant9,210,1,2345345
Participant2,155,1,2345886
Participant13,206,1,2346428
Participant7,164,1,2346971
Participant3,167,1,2347503
Participant12,136,1,2348041
Participant6,176,1,2348575
Participant5,166,1,2349110
,168,1,2349656
Participant8,146,1,2350191
Participant2,181,1,2350735
Participant5,170,1,2351277
Participant3,191,1,2351817
Participant14,225,1,2352359
Participant9,212,1,2352891
Participant11,168,1,2353420
Participant8,215,1,2353958
Participant4,204,1,2354493
Participant7,182,1,2355035
Participant10,176,1,2355582
